locus_tag	ftype	length_bp	gene	EC_number	COG	product
JDBHNIBC_01635	CDS	1356	dinF		COG0534	DNA damage-inducible protein F
JDBHNIBC_01636	CDS	483				hypothetical protein
JDBHNIBC_01637	CDS	267				hypothetical protein
JDBHNIBC_01638	CDS	1011	cdhR_2		COG4977	HTH-type transcriptional regulator CdhR
JDBHNIBC_01639	CDS	1092	dcd	3.5.4.13		dCTP deaminase, dUMP-forming
JDBHNIBC_01640	CDS	1197	metZ	2.5.1.-	COG0626	O-succinylhomoserine sulfhydrylase
JDBHNIBC_01641	CDS	393	apaG		COG2967	Protein ApaG
JDBHNIBC_01642	CDS	1023	hslO		COG1281	33 kDa chaperonin
JDBHNIBC_01643	CDS	939	argF	2.1.3.3	COG0078	Ornithine carbamoyltransferase, anabolic
JDBHNIBC_01644	CDS	1212	aruC	2.6.1.11	COG4992	Succinylornithine transaminase/acetylornithine aminotransferase
JDBHNIBC_01645	CDS	543				hypothetical protein
JDBHNIBC_01646	CDS	1065	sasA_4	2.7.-.-		Adaptive-response sensory-kinase SasA
JDBHNIBC_01647	CDS	252				hypothetical protein
JDBHNIBC_01648	CDS	960		2.7.4.1	COG2326	Polyphosphate:ADP phosphotransferase
JDBHNIBC_01649	CDS	1893				hypothetical protein
JDBHNIBC_01650	CDS	843	artJ_2		COG0834	ABC transporter arginine-binding protein 1
JDBHNIBC_01651	CDS	168				hypothetical protein
JDBHNIBC_01652	CDS	3156	bepE_2			Efflux pump membrane transporter BepE
JDBHNIBC_01653	CDS	1194	bepD			Efflux pump periplasmic linker BepD
JDBHNIBC_01654	CDS	630	bepR			HTH-type transcriptional repressor BepR
JDBHNIBC_01655	CDS	1746	fadD	6.2.1.3	COG0318	Long-chain-fatty-acid--CoA ligase
JDBHNIBC_01656	CDS	180				hypothetical protein
JDBHNIBC_01657	CDS	714				hypothetical protein
JDBHNIBC_01658	CDS	750	gph_2	3.1.3.18	COG0546	Phosphoglycolate phosphatase
JDBHNIBC_01659	CDS	1062				hypothetical protein
JDBHNIBC_01660	CDS	1650	pgi	5.3.1.9	COG0166	Glucose-6-phosphate isomerase
JDBHNIBC_01661	CDS	453				hypothetical protein
JDBHNIBC_01662	CDS	1497	preT	1.3.1.1	COG0493	NAD-dependent dihydropyrimidine dehydrogenase subunit PreT
JDBHNIBC_01663	CDS	1311	preA	1.3.1.1	COG0167	NAD-dependent dihydropyrimidine dehydrogenase subunit PreA
JDBHNIBC_01664	CDS	390				hypothetical protein
JDBHNIBC_01665	CDS	453	rutR		COG1309	HTH-type transcriptional regulator RutR
JDBHNIBC_01666	CDS	201				hypothetical protein
JDBHNIBC_01667	CDS	1248	hyuC	3.5.1.87	COG0624	N-carbamoyl-L-amino-acid hydrolase
JDBHNIBC_01668	CDS	1470	dht	3.5.2.2	COG0044	D-hydantoinase/dihydropyrimidinase
JDBHNIBC_01669	CDS	126				hypothetical protein
JDBHNIBC_01670	CDS	3132	bepE_3			Efflux pump membrane transporter BepE
JDBHNIBC_01671	CDS	1152	mdtA_1			Multidrug resistance protein MdtA
JDBHNIBC_01672	CDS	1554	sasA_5	2.7.-.-		Adaptive-response sensory-kinase SasA
JDBHNIBC_01673	tRNA	77				tRNA-Arg(acg)
JDBHNIBC_01674	CDS	627	ureG_2		COG0378	Urease accessory protein UreG
JDBHNIBC_01675	CDS	714	ureF_2		COG0830	Urease accessory protein UreF
JDBHNIBC_01676	CDS	516	ureE1			Urease accessory protein UreE 1
JDBHNIBC_01677	CDS	1713	ureC1	3.5.1.5		Urease subunit alpha 1
JDBHNIBC_01678	CDS	306	ureB1	3.5.1.5		Urease subunit beta 1
JDBHNIBC_01679	CDS	96				hypothetical protein
JDBHNIBC_01680	CDS	261	ureA1	3.5.1.5		Urease subunit gamma 1
JDBHNIBC_01681	CDS	843	ureD_2			Urease accessory protein UreD
JDBHNIBC_01682	CDS	390				hypothetical protein
JDBHNIBC_01683	CDS	1365				hypothetical protein
JDBHNIBC_01684	CDS	666	bin3			Putative transposon Tn552 DNA-invertase bin3
JDBHNIBC_01685	CDS	423				hypothetical protein
JDBHNIBC_01686	CDS	1767				hypothetical protein
JDBHNIBC_01687	tRNA	75				tRNA-Thr(ggt)
JDBHNIBC_01688	CDS	240				hypothetical protein
JDBHNIBC_01689	CDS	1290	murA	2.5.1.7	COG0766	UDP-N-acetylglucosamine 1-carboxyvinyltransferase
JDBHNIBC_01690	CDS	441				hypothetical protein
JDBHNIBC_01691	CDS	1293	hisD	1.1.1.23		Histidinol dehydrogenase
JDBHNIBC_01692	CDS	483				hypothetical protein
JDBHNIBC_01693	CDS	474				hypothetical protein
JDBHNIBC_01694	CDS	219	infA			Translation initiation factor IF-1
JDBHNIBC_01695	CDS	627	yhdE	3.6.1.9	COG0424	dTTP/UTP pyrophosphatase
JDBHNIBC_01696	CDS	216	yacG			DNA gyrase inhibitor YacG
JDBHNIBC_01697	tRNA	76				tRNA-Phe(gaa)
JDBHNIBC_01698	CDS	828				hypothetical protein
JDBHNIBC_01699	CDS	195				hypothetical protein
JDBHNIBC_01700	CDS	414				hypothetical protein
JDBHNIBC_01701	CDS	609				hypothetical protein
JDBHNIBC_01702	CDS	174				hypothetical protein
JDBHNIBC_01703	CDS	108				hypothetical protein
JDBHNIBC_01704	CDS	540				hypothetical protein
JDBHNIBC_01705	CDS	291				hypothetical protein
JDBHNIBC_01706	CDS	228				hypothetical protein
JDBHNIBC_01707	CDS	246				hypothetical protein
JDBHNIBC_01708	CDS	477				hypothetical protein
JDBHNIBC_01709	CDS	486				hypothetical protein
JDBHNIBC_01710	CDS	549				hypothetical protein
JDBHNIBC_01711	CDS	357				hypothetical protein
JDBHNIBC_01712	CDS	234				hypothetical protein
JDBHNIBC_01713	CDS	207				hypothetical protein
JDBHNIBC_01714	CDS	591				hypothetical protein
JDBHNIBC_01715	CDS	306				hypothetical protein
JDBHNIBC_01716	CDS	183				hypothetical protein
JDBHNIBC_01717	CDS	2046				hypothetical protein
JDBHNIBC_01718	CDS	2121				hypothetical protein
JDBHNIBC_01719	CDS	177				hypothetical protein
JDBHNIBC_01720	CDS	1017				hypothetical protein
JDBHNIBC_01721	CDS	165				hypothetical protein
JDBHNIBC_01722	CDS	588				hypothetical protein
JDBHNIBC_01723	CDS	1530				hypothetical protein
JDBHNIBC_01724	CDS	882				hypothetical protein
JDBHNIBC_01725	CDS	315				hypothetical protein
JDBHNIBC_01726	CDS	210				hypothetical protein
JDBHNIBC_01727	CDS	219				hypothetical protein
JDBHNIBC_01728	CDS	447				hypothetical protein
JDBHNIBC_01729	CDS	1047	intA		COG0582	Prophage integrase IntA
JDBHNIBC_01730	CDS	552				hypothetical protein
JDBHNIBC_01731	CDS	1278		4.2.1.68	COG4948	L-fuconate dehydratase
JDBHNIBC_01732	CDS	846		4.3.2.3		Ureidoglycolate lyase
JDBHNIBC_01733	CDS	735		1.1.1.-		2-keto-3-deoxy-L-fuconate dehydrogenase
JDBHNIBC_01734	CDS	99				hypothetical protein
JDBHNIBC_01735	CDS	1080				hypothetical protein
JDBHNIBC_01736	CDS	345	rhaM	5.1.3.32		L-rhamnose mutarotase
JDBHNIBC_01737	CDS	1119		4.2.1.156	COG4948	L-talarate/galactarate dehydratase
JDBHNIBC_01738	CDS	1092	msmX_1	7.5.2.-	COG3839	Oligosaccharides import ATP-binding protein MsmX
JDBHNIBC_01739	CDS	876	dasC		COG0395	Diacetylchitobiose uptake system permease protein DasC
JDBHNIBC_01740	CDS	894	sugA_1		COG1175	Trehalose transport system permease protein SugA
JDBHNIBC_01741	CDS	1320				hypothetical protein
JDBHNIBC_01742	CDS	780	kdgR		COG1414	Transcriptional regulator KdgR
JDBHNIBC_01743	CDS	849				hypothetical protein
JDBHNIBC_01744	CDS	111				hypothetical protein
JDBHNIBC_01745	CDS	555				hypothetical protein
JDBHNIBC_01746	CDS	3003	soxA	1.5.3.1		Sarcosine oxidase subunit alpha
JDBHNIBC_01747	CDS	306	soxD	1.5.3.1		Sarcosine oxidase subunit delta
JDBHNIBC_01748	CDS	1254	soxB	1.5.3.1		Sarcosine oxidase subunit beta
JDBHNIBC_01749	CDS	1266	rocG	1.4.1.2	COG0334	Catabolic NAD-specific glutamate dehydrogenase RocG
JDBHNIBC_01750	CDS	651				hypothetical protein
JDBHNIBC_01751	CDS	930	yehZ		COG1732	Glycine betaine-binding protein YehZ
JDBHNIBC_01752	CDS	1212	yehY		COG1174	Glycine betaine uptake system permease protein YehY
JDBHNIBC_01753	CDS	939	yehX	3.6.3.-	COG1125	Glycine betaine uptake system ATP-binding protein YehX
JDBHNIBC_01754	CDS	747				hypothetical protein
JDBHNIBC_01755	CDS	276				hypothetical protein
JDBHNIBC_01756	CDS	2481	actP	7.2.2.9		Copper-transporting P-type ATPase
JDBHNIBC_01757	CDS	2112				hypothetical protein
JDBHNIBC_01758	CDS	876	thiD	2.7.1.49	COG0351	Hydroxymethylpyrimidine/phosphomethylpyrimidine kinase
JDBHNIBC_01759	CDS	1005	mnmC	2.1.1.61		tRNA 5-methylaminomethyl-2-thiouridine biosynthesis bifunctional protein MnmC
JDBHNIBC_01760	CDS	198				hypothetical protein
JDBHNIBC_01761	CDS	771	thiG	2.8.1.10	COG2022	Thiazole synthase
JDBHNIBC_01762	CDS	612	thiE_2	2.5.1.3	COG0352	Thiamine-phosphate synthase
JDBHNIBC_01763	CDS	969			COG0715	Putative thiamine biosynthesis protein
JDBHNIBC_01764	CDS	699	tenA	3.5.99.2	COG0819	Aminopyrimidine aminohydrolase
JDBHNIBC_01765	CDS	636				hypothetical protein
JDBHNIBC_01766	CDS	141				hypothetical protein
JDBHNIBC_01767	CDS	1434	aldHT	1.2.1.5		Aldehyde dehydrogenase, thermostable
JDBHNIBC_01768	CDS	201				hypothetical protein
JDBHNIBC_01769	CDS	1209	atm1_2		COG5265	ATM1-type heavy metal exporter
JDBHNIBC_01770	CDS	621		3.6.3.-	COG1132	Putative multidrug export ATP-binding/permease protein
JDBHNIBC_01771	CDS	1023	ccpA_2		COG1609	Catabolite control protein A
JDBHNIBC_01772	CDS	408				hypothetical protein
JDBHNIBC_01773	CDS	1026	adhT	1.1.1.1		Alcohol dehydrogenase
JDBHNIBC_01774	CDS	1518	adh	1.2.1.3	COG1012	Aldehyde dehydrogenase
JDBHNIBC_01775	CDS	969				hypothetical protein
JDBHNIBC_01776	CDS	1503	eryB_1	1.1.1.402	COG0578	D-erythritol 1-phosphate dehydrogenase
JDBHNIBC_01777	CDS	792	glpR_1		COG1349	Glycerol-3-phosphate regulon repressor
JDBHNIBC_01778	CDS	738				hypothetical protein
JDBHNIBC_01779	CDS	762				hypothetical protein
JDBHNIBC_01780	tRNA	77				tRNA-Pro(cgg)
JDBHNIBC_01781	CDS	846	cysQ_2	3.1.3.7	COG1218	3'(2'),5'-bisphosphate nucleotidase CysQ
JDBHNIBC_01782	CDS	1935	cysNC		COG0529	Bifunctional enzyme CysN/CysC
JDBHNIBC_01783	CDS	996	cysD	2.7.7.4	COG0175	Sulfate adenylyltransferase subunit 2
JDBHNIBC_01784	CDS	1371	spuC_1	2.6.1.113	COG0161	Putrescine--pyruvate aminotransferase
JDBHNIBC_01785	CDS	708	anoR			Transcriptional activator protein AnoR
JDBHNIBC_01786	CDS	3786	metH	2.1.1.13	COG0646	Methionine synthase
JDBHNIBC_01787	CDS	390				Lectin-like protein BA14k
JDBHNIBC_01788	CDS	246				hypothetical protein
JDBHNIBC_01789	CDS	579	ogt	2.1.1.63	COG0350	Methylated-DNA--protein-cysteine methyltransferase
JDBHNIBC_01790	CDS	294				hypothetical protein
JDBHNIBC_01791	CDS	525				hypothetical protein
JDBHNIBC_01792	CDS	576	cysH	1.8.4.8	COG0175	putative phosphoadenosine phosphosulfate reductase
JDBHNIBC_01793	CDS	1764				hypothetical protein
JDBHNIBC_01794	CDS	303				hypothetical protein
JDBHNIBC_01795	CDS	1458	cysG_2		COG0007	Siroheme synthase
JDBHNIBC_01796	CDS	381				hypothetical protein
JDBHNIBC_01797	CDS	912	rsmI	2.1.1.198	COG0313	Ribosomal RNA small subunit methyltransferase I
JDBHNIBC_01798	CDS	1215	hemW		COG0635	Heme chaperone HemW
JDBHNIBC_01799	CDS	663		3.6.1.66	COG0127	dITP/XTP pyrophosphatase
JDBHNIBC_01800	CDS	222				hypothetical protein
JDBHNIBC_01801	CDS	174				hypothetical protein
JDBHNIBC_01802	CDS	717	rph	2.7.7.56	COG0689	Ribonuclease PH
JDBHNIBC_01803	CDS	1125	hrcA		COG1420	Heat-inducible transcription repressor HrcA
JDBHNIBC_01804	CDS	681	grpE			Protein GrpE
JDBHNIBC_01805	CDS	657				hypothetical protein
JDBHNIBC_01806	CDS	993	ydjH	2.7.1.-	COG0524	putative sugar kinase YdjH
JDBHNIBC_01807	CDS	714				hypothetical protein
JDBHNIBC_01808	CDS	747	nth	4.2.99.18	COG0177	Endonuclease III
JDBHNIBC_01809	CDS	498				hypothetical protein
JDBHNIBC_01810	CDS	423	ibpA_1		COG0071	Small heat shock protein IbpA
JDBHNIBC_01811	CDS	246				hypothetical protein
JDBHNIBC_01812	CDS	465	ptsN		COG1762	Nitrogen regulatory protein
JDBHNIBC_01813	CDS	594	hpf		COG1544	Ribosome hibernation promotion factor
JDBHNIBC_01814	CDS	1503	rpoN2		COG1508	RNA polymerase sigma-54 factor 2
JDBHNIBC_01815	CDS	738	lptB_1	3.6.3.-	COG1137	Lipopolysaccharide export system ATP-binding protein LptB
JDBHNIBC_01816	CDS	651	lptA			Lipopolysaccharide export system protein LptA
JDBHNIBC_01817	CDS	723				hypothetical protein
JDBHNIBC_01818	CDS	984				hypothetical protein
JDBHNIBC_01819	CDS	306	ihfB		COG0776	Integration host factor subunit beta
JDBHNIBC_01820	CDS	324				hypothetical protein
JDBHNIBC_01821	CDS	690				hypothetical protein
JDBHNIBC_01822	CDS	450				hypothetical protein
JDBHNIBC_01823	CDS	894	aviRb	2.1.1.208		23S rRNA (uridine(2479)-2'-O)-methyltransferase
JDBHNIBC_01824	CDS	498	lspA	3.4.23.36	COG0597	Lipoprotein signal peptidase
JDBHNIBC_01825	CDS	894				hypothetical protein
JDBHNIBC_01826	CDS	2733	mutS		COG0249	DNA mismatch repair protein MutS
JDBHNIBC_01827	CDS	1401	tme_1	1.1.1.40	COG0280	NADP-dependent malic enzyme
JDBHNIBC_01828	CDS	894	tme_2	1.1.1.40	COG0280	NADP-dependent malic enzyme
JDBHNIBC_01829	CDS	2805	glnD		COG2844	Bifunctional uridylyltransferase/uridylyl-removing enzyme
JDBHNIBC_01830	CDS	1590	murJ		COG0728	putative lipid II flippase MurJ
JDBHNIBC_01831	CDS	1068	trpS	6.1.1.2	COG0180	Tryptophan--tRNA ligase
JDBHNIBC_01832	CDS	540				hypothetical protein
JDBHNIBC_01833	CDS	573	nfuA			Fe/S biogenesis protein NfuA
JDBHNIBC_01834	CDS	621				hypothetical protein
JDBHNIBC_01835	CDS	495				hypothetical protein
JDBHNIBC_01836	CDS	564	regA		COG4567	Photosynthetic apparatus regulatory protein RegA
JDBHNIBC_01837	CDS	393			COG3039	IS5 family transposase IS711
JDBHNIBC_01838	CDS	369			COG3039	IS5 family transposase IS711
JDBHNIBC_01839	CDS	1293	regB	2.7.13.3		Sensor histidine kinase RegB
JDBHNIBC_01840	CDS	582	hrpB_1	3.6.4.13	COG1643	ATP-dependent RNA helicase HrpB
JDBHNIBC_01841	CDS	1992	hrpB_2	3.6.4.13	COG1643	ATP-dependent RNA helicase HrpB
JDBHNIBC_01842	CDS	261	frmR		COG1937	Transcriptional repressor FrmR
JDBHNIBC_01843	CDS	1113	flhA_1	1.1.1.284	COG1062	S-(hydroxymethyl)glutathione dehydrogenase
JDBHNIBC_01844	CDS	417				hypothetical protein
JDBHNIBC_01845	CDS	657				hypothetical protein
JDBHNIBC_01846	CDS	837	fghA	3.1.2.12	COG0627	S-formylglutathione hydrolase
JDBHNIBC_01847	CDS	2424	gyrB_1	5.6.2.2		DNA gyrase subunit B
JDBHNIBC_01848	CDS	1881	deaD	3.6.4.13	COG0513	ATP-dependent RNA helicase DeaD
JDBHNIBC_01849	CDS	2937	polA	2.7.7.7	COG0258	DNA polymerase I
JDBHNIBC_01850	CDS	1416	dapE_1	3.5.1.18	COG0624	Succinyl-diaminopimelate desuccinylase
JDBHNIBC_01851	CDS	618	rnd_2	3.1.13.5		Ribonuclease D
JDBHNIBC_01852	CDS	687				hypothetical protein
JDBHNIBC_01853	CDS	693				hypothetical protein
JDBHNIBC_01854	CDS	2193	mtgA_3	2.4.1.129		Biosynthetic peptidoglycan transglycosylase
JDBHNIBC_01855	CDS	807	fabG_7	1.1.1.100		3-oxoacyl-[acyl-carrier-protein] reductase FabG
JDBHNIBC_01856	CDS	927	scrK	2.7.1.4	COG0524	Fructokinase
JDBHNIBC_01857	CDS	789	tam_2	2.1.1.144		Trans-aconitate 2-methyltransferase
JDBHNIBC_01858	CDS	831	phzF_2	5.3.3.17		Trans-2,3-dihydro-3-hydroxyanthranilate isomerase
JDBHNIBC_01859	CDS	1305	pncB	6.3.4.21	COG1488	Nicotinate phosphoribosyltransferase
JDBHNIBC_01860	CDS	8604	ndvB	2.4.1.-	COG3459	Cyclic beta-(1,2)-glucan synthase NdvB
JDBHNIBC_01861	CDS	1161	btuD_6	7.6.2.8		Vitamin B12 import ATP-binding protein BtuD
JDBHNIBC_01862	CDS	867	cysW_2		COG4208	Sulfate transport system permease protein CysW
JDBHNIBC_01863	CDS	867	cysT_2		COG0555	Sulfate transport system permease protein CysT
JDBHNIBC_01864	CDS	1029	sbp		COG1613	Sulfate-binding protein
JDBHNIBC_01865	CDS	819				hypothetical protein
JDBHNIBC_01866	CDS	486				hypothetical protein
JDBHNIBC_01867	CDS	405				hypothetical protein
JDBHNIBC_01868	CDS	342				hypothetical protein
JDBHNIBC_01869	CDS	237				hypothetical protein
JDBHNIBC_01870	CDS	459				hypothetical protein
JDBHNIBC_01871	CDS	459				hypothetical protein
JDBHNIBC_01872	CDS	1836	ilvD	4.2.1.9	COG0129	Dihydroxy-acid dehydratase
JDBHNIBC_01873	CDS	612	cycY		COG0526	Thiol:disulfide interchange protein CycY
JDBHNIBC_01874	CDS	174				hypothetical protein
JDBHNIBC_01875	CDS	789	ccmC		COG0755	Heme exporter protein C
JDBHNIBC_01876	CDS	666	ccmB		COG2386	Heme exporter protein B
JDBHNIBC_01877	CDS	648	ccmA	7.6.2.5	COG4133	Cytochrome c biogenesis ATP-binding export protein CcmA
JDBHNIBC_01878	CDS	2688	acnA	4.2.1.3	COG1048	Aconitate hydratase A
JDBHNIBC_01879	CDS	735				hypothetical protein
JDBHNIBC_01880	CDS	402				hypothetical protein
JDBHNIBC_01881	CDS	540		2.3.1.-		L-methionine sulfoximine/L-methionine sulfone acetyltransferase
JDBHNIBC_01882	CDS	738	ybhL		COG0670	Inner membrane protein YbhL
JDBHNIBC_01883	CDS	2553				hypothetical protein
JDBHNIBC_01884	CDS	579				hypothetical protein
JDBHNIBC_01885	CDS	726		3.1.1.2		Arylesterase
JDBHNIBC_01886	CDS	591	thpR	3.1.4.58		RNA 2',3'-cyclic phosphodiesterase
JDBHNIBC_01887	CDS	606				hypothetical protein
JDBHNIBC_01888	CDS	294	phhB	4.2.1.96	COG2154	Putative pterin-4-alpha-carbinolamine dehydratase
JDBHNIBC_01889	CDS	384				hypothetical protein
JDBHNIBC_01890	CDS	603				hypothetical protein
JDBHNIBC_01891	CDS	195				hypothetical protein
JDBHNIBC_01892	CDS	1236	rlmN	2.1.1.192	COG0820	Dual-specificity RNA methyltransferase RlmN
JDBHNIBC_01893	CDS	504				hypothetical protein
JDBHNIBC_01894	CDS	660	rhtB		COG1280	Homoserine/homoserine lactone efflux protein
JDBHNIBC_01895	CDS	1221	argG	6.3.4.5	COG0137	Argininosuccinate synthase
JDBHNIBC_01896	CDS	738				hypothetical protein
JDBHNIBC_01897	CDS	1092	btaE			Autotransporter adhesin BtaE
JDBHNIBC_01898	CDS	1611				hypothetical protein
JDBHNIBC_01899	CDS	864				hypothetical protein
JDBHNIBC_01900	CDS	1452	imuB			Protein ImuB
JDBHNIBC_01901	CDS	3234	dnaE2	2.7.7.7		Error-prone DNA polymerase
JDBHNIBC_01902	CDS	657				hypothetical protein
JDBHNIBC_01903	CDS	558				hypothetical protein
JDBHNIBC_01904	CDS	189				hypothetical protein
JDBHNIBC_01905	CDS	210				hypothetical protein
JDBHNIBC_01906	CDS	192				hypothetical protein
JDBHNIBC_01907	CDS	690	nagK	3.7.1.20		Fumarylpyruvate hydrolase
JDBHNIBC_01908	CDS	699	coaA_1	2.7.1.33		Pantothenate kinase
JDBHNIBC_01909	CDS	924	ycjY		COG1073	putative protein YcjY
JDBHNIBC_01910	CDS	894	pgrR			HTH-type transcriptional regulator PgrR
JDBHNIBC_01911	CDS	1632	pgm	5.4.2.2	COG0033	Phosphoglucomutase
JDBHNIBC_01912	CDS	1164				Iron-sulfur cluster carrier protein
JDBHNIBC_01913	CDS	396	gloA_2	4.4.1.5	COG0346	Lactoylglutathione lyase
JDBHNIBC_01914	CDS	399				hypothetical protein
JDBHNIBC_01915	CDS	1005				hypothetical protein
JDBHNIBC_01916	CDS	510				hypothetical protein
JDBHNIBC_01917	CDS	216				hypothetical protein
JDBHNIBC_01918	CDS	726				hypothetical protein
JDBHNIBC_01919	CDS	4740				hypothetical protein
JDBHNIBC_01920	CDS	1920	bamA_2			Outer membrane protein assembly factor BamA
JDBHNIBC_01921	CDS	699				hypothetical protein
JDBHNIBC_01922	CDS	366	cyoD		COG3125	Cytochrome bo(3) ubiquinol oxidase subunit 4
JDBHNIBC_01923	CDS	630	cyoC		COG1845	Cytochrome bo(3) ubiquinol oxidase subunit 3
JDBHNIBC_01924	CDS	1980	cyoB	7.1.1.3	COG0843	Cytochrome bo(3) ubiquinol oxidase subunit 1
JDBHNIBC_01925	CDS	1014	cyoA		COG1622	Cytochrome bo(3) ubiquinol oxidase subunit 2
JDBHNIBC_01926	CDS	147				hypothetical protein
JDBHNIBC_01927	CDS	966				hypothetical protein
JDBHNIBC_01928	CDS	609				hypothetical protein
JDBHNIBC_01929	CDS	756	kdsB	2.7.7.38	COG1212	3-deoxy-manno-octulosonate cytidylyltransferase
JDBHNIBC_01930	CDS	873	pheA		COG0077	Bifunctional chorismate mutase/prephenate dehydratase
JDBHNIBC_01931	CDS	918	nudC	3.6.1.22		NADH pyrophosphatase
JDBHNIBC_01932	CDS	405				hypothetical protein
JDBHNIBC_01933	CDS	1809	ruvB_2	3.6.4.12		Holliday junction ATP-dependent DNA helicase RuvB
JDBHNIBC_01934	CDS	324	ybaB		COG0718	Nucleoid-associated protein YbaB
JDBHNIBC_01935	CDS	699	recR		COG0353	Recombination protein RecR
JDBHNIBC_01936	CDS	1284				Tn3 family transposase TnXax1
JDBHNIBC_01937	CDS	570				hypothetical protein
JDBHNIBC_01938	CDS	900	cysL		COG0583	HTH-type transcriptional regulator CysL
JDBHNIBC_01939	CDS	1020				hypothetical protein
JDBHNIBC_01940	CDS	1701	rpsA		COG0539	30S ribosomal protein S1
JDBHNIBC_01941	CDS	660	cmk	2.7.4.25	COG0283	Cytidylate kinase
JDBHNIBC_01942	CDS	1353	aroA	2.5.1.19		3-phosphoshikimate 1-carboxyvinyltransferase
JDBHNIBC_01943	CDS	384				hypothetical protein
JDBHNIBC_01944	tRNA	76				tRNA-Ala(ggc)
JDBHNIBC_01945	CDS	1122				hypothetical protein
JDBHNIBC_01946	CDS	435				hypothetical protein
JDBHNIBC_01947	CDS	981	acsA_2	6.2.1.1	COG0365	Acetyl-coenzyme A synthetase
JDBHNIBC_01948	CDS	1008	acsA_3	6.2.1.1	COG0365	Acetyl-coenzyme A synthetase
JDBHNIBC_01949	CDS	1149	acdA_2	1.3.99.-	COG1960	Acyl-CoA dehydrogenase
JDBHNIBC_01950	CDS	1608		2.1.3.1	COG4799	Methylmalonyl-CoA carboxyltransferase 12S subunit
JDBHNIBC_01951	CDS	2022	accA1_2		COG4770	Acetyl-/propionyl-coenzyme A carboxylase alpha chain
JDBHNIBC_01952	CDS	864	liuE	4.1.3.26	COG0119	3-hydroxy-3-isohexenylglutaryl-CoA/hydroxy-methylglutaryl-CoA lyase
JDBHNIBC_01953	CDS	429		4.1.2.41		Hydroxycinnamoyl-CoA hydratase-lyase
JDBHNIBC_01954	CDS	564				hypothetical protein
JDBHNIBC_01955	CDS	1107			COG0683	Leu/Ile/Val-binding protein 
JDBHNIBC_01956	CDS	201				hypothetical protein
JDBHNIBC_01957	CDS	1869				hypothetical protein
JDBHNIBC_01958	CDS	1839	appA_1			Oligopeptide-binding protein AppA
JDBHNIBC_01959	CDS	1098	yejB		COG4174	Inner membrane ABC transporter permease protein YejB
JDBHNIBC_01960	CDS	1140	yejE		COG4239	Inner membrane ABC transporter permease protein YejE
JDBHNIBC_01961	CDS	1626	yejF_1		COG4172	putative ABC transporter ATP-binding protein YejF
JDBHNIBC_01962	CDS	957	ghrA	1.1.1.79	COG0111	Glyoxylate/hydroxypyruvate reductase A
JDBHNIBC_01963	CDS	783	moeZ		COG0476	putative adenylyltransferase/sulfurtransferase MoeZ
JDBHNIBC_01964	CDS	1155	recF		COG1195	DNA replication and repair protein RecF
JDBHNIBC_01965	CDS	1194	dnaN			Beta sliding clamp
JDBHNIBC_01966	CDS	1641	dnaA_2		COG0593	Chromosomal replication initiator protein DnaA
JDBHNIBC_01967	CDS	267	rpsT		COG0268	30S ribosomal protein S20
JDBHNIBC_01968	CDS	774	echA8_1	4.2.1.17	COG1024	putative enoyl-CoA hydratase echA8
JDBHNIBC_01969	CDS	882	mutM	3.2.2.23	COG0266	Formamidopyrimidine-DNA glycosylase
JDBHNIBC_01970	CDS	180				hypothetical protein
JDBHNIBC_01971	CDS	1383	pepA_2	3.4.11.10		cytosol aminopeptidase
JDBHNIBC_01972	CDS	351				hypothetical protein
JDBHNIBC_01973	CDS	873		3.4.22.-		Dipeptidyl-peptidase 6
JDBHNIBC_01974	CDS	702	rutD	3.5.1.-		Putative aminoacrylate hydrolase RutD
JDBHNIBC_01975	CDS	1005		1.1.1.29		Glycerate dehydrogenase
JDBHNIBC_01976	CDS	108				hypothetical protein
JDBHNIBC_01977	CDS	573				hypothetical protein
JDBHNIBC_01978	CDS	780	metQ_1		COG1464	D-methionine-binding lipoprotein MetQ
JDBHNIBC_01979	CDS	438	fur_2		COG0735	Ferric uptake regulation protein
JDBHNIBC_01980	CDS	519	fabA	4.2.1.59	COG0764	3-hydroxydecanoyl-[acyl-carrier-protein] dehydratase
JDBHNIBC_01981	CDS	1224	fabB	2.3.1.41		3-oxoacyl-[acyl-carrier-protein] synthase 1
JDBHNIBC_01982	CDS	819	fabI_2	1.3.1.9	COG0623	Enoyl-[acyl-carrier-protein] reductase [NADH] FabI
JDBHNIBC_01983	CDS	213	rsmC_1	2.1.1.172		Ribosomal RNA small subunit methyltransferase C
JDBHNIBC_01984	CDS	768	rsmC_2	2.1.1.172		Ribosomal RNA small subunit methyltransferase C
JDBHNIBC_01985	CDS	2145	pnp	2.7.7.8	COG1185	Polyribonucleotide nucleotidyltransferase
JDBHNIBC_01986	CDS	381				hypothetical protein
JDBHNIBC_01987	CDS	975	truB	5.4.99.25	COG0130	tRNA pseudouridine synthase B
JDBHNIBC_01988	CDS	453	rbfA			Ribosome-binding factor A
JDBHNIBC_01989	CDS	2880	infB			Translation initiation factor IF-2
JDBHNIBC_01990	CDS	618				hypothetical protein
JDBHNIBC_01991	CDS	1614	nusA		COG0195	Transcription termination/antitermination protein NusA
JDBHNIBC_01992	CDS	660	rimP			Ribosome maturation factor RimP
